,0
LICENSE STATUS CHANGE DATE,1112652
APPLICATION CREATED DATE,914468
SSA,881631
BUSINESS ACTIVITY,548118
BUSINESS ACTIVITY ID,548118
NEIGHBORHOOD,99042
COMMUNITY AREA NAME,98070
COMMUNITY AREA,98007
PRECINCT,92124
LOCATION,91830
LONGITUDE,91830
LATITUDE,91830
POLICE DISTRICT,90664
WARD,90214
WARD PRECINCT,89734
LICENSE APPROVED FOR ISSUANCE,55299
PAYMENT DATE,22603
APPLICATION REQUIREMENTS COMPLETE,18414
LICENSE TERM START DATE,2718
ZIP CODE,317
DOING BUSINESS AS NAME,315
LICENSE TERM EXPIRATION DATE,158
STATE,12
LICENSE NUMBER,1
DATE ISSUED,0
LICENSE STATUS,0
ID,0
CONDITIONAL APPROVAL,0
APPLICATION TYPE,0
LICENSE ID,0
LICENSE CODE,0
CITY,0
ADDRESS,0
LEGAL NAME,0
SITE NUMBER,0
ACCOUNT NUMBER,0
LICENSE DESCRIPTION,0
